date,academy,name,psychometric_score,presentation_score
Wednesday 1 May 2019,London Academy,Micheil Rotlauf,66,15
Wednesday 1 May 2019,London Academy,Berkeley Bothe,43,25
Wednesday 1 May 2019,London Academy,Klarika Mcconigal,48,22
Wednesday 1 May 2019,London Academy,Retha Dunnico,60,20
Wednesday 1 May 2019,London Academy,Nance Tothe,51,15
Wednesday 1 May 2019,London Academy,Donica Andreas,59,18
Wednesday 1 May 2019,London Academy,Stavros Petticrow,52,12
Wednesday 1 May 2019,London Academy,Janet Mulqueeny,42,19
Wednesday 1 May 2019,London Academy,Cassius Hollibone,69,18
Wednesday 1 May 2019,London Academy,Mellicent Desaur,67,18
Wednesday 1 May 2019,London Academy,Kamila Silversmidt,53,16
Wednesday 1 May 2019,London Academy,Bernadine Sinkin,60,17
Wednesday 1 May 2019,London Academy,William Dryden,63,23
Wednesday 1 May 2019,London Academy,Matthias Burns,53,22
Wednesday 1 May 2019,London Academy,Maxwell Wyer,50,21
Wednesday 1 May 2019,London Academy,Miguela Quantrill,60,21
Wednesday 1 May 2019,London Academy,Juliet Scottrell,55,16
Wednesday 1 May 2019,London Academy,Gannie Barehead,46,19
Wednesday 1 May 2019,London Academy,Siouxie Tunstall,57,23
Wednesday 1 May 2019,London Academy,Keenan Stubbes,50,21
Wednesday 1 May 2019,London Academy,Verney Skehan,58,15
Wednesday 1 May 2019,London Academy,Bernice Niblett,52,16
Wednesday 1 May 2019,London Academy,Susie Ciccoloi,65,21
Wednesday 1 May 2019,London Academy,Corney Kolinsky,50,23
Wednesday 1 May 2019,London Academy,Benson Syncke,57,18
Wednesday 1 May 2019,London Academy,Halsey Broader,67,26
Tuesday 1 October 2019,London Academy,Konstantine Giacomoni,48,24
Tuesday 1 October 2019,London Academy,Carmelle Jado,54,22
Tuesday 1 October 2019,London Academy,Eward Stanyard,48,20
Tuesday 1 October 2019,London Academy,Edgardo Lidyard,49,24
Tuesday 1 October 2019,London Academy,Claudia May,53,18
Tuesday 1 October 2019,London Academy,Ginevra Kops,52,21
Tuesday 1 October 2019,London Academy,Lambert Fortnon,57,22
Tuesday 1 October 2019,London Academy,Far Lubeck,52,18
Tuesday 1 October 2019,London Academy,Joann Aspinwall,59,15
Tuesday 1 October 2019,London Academy,Sallyann Jacobi,60,15
Tuesday 1 October 2019,London Academy,Agustin Boog,55,21
Tuesday 1 October 2019,London Academy,Fiann Parmeter,52,23
Tuesday 1 October 2019,London Academy,Linette Gilhoolie,55,19
Tuesday 1 October 2019,London Academy,Pearla Durtnell,55,21
Tuesday 1 October 2019,London Academy,Candie Senner,59,24
Tuesday 1 October 2019,London Academy,Mychal Bachelar,47,24
Wednesday 10 April 2019,London Academy,Esme Trusslove,39,23
Wednesday 10 April 2019,London Academy,Tiler Andrejevic,55,21
Wednesday 10 April 2019,London Academy,Ester Foldes,48,23
Wednesday 10 April 2019,London Academy,Mile O'Brien,50,24
Wednesday 10 April 2019,London Academy,Sheeree Collop,66,19
Wednesday 10 April 2019,London Academy,Libbie Pluck,51,19
Wednesday 10 April 2019,London Academy,Gusty Beevens,42,22
Wednesday 10 April 2019,London Academy,Lon Gillimgham,56,18
Wednesday 10 April 2019,London Academy,Hogan Bushnell,65,22
Wednesday 10 April 2019,London Academy,Tiffany Gronaller,54,24
Wednesday 10 April 2019,London Academy,Chilton Niece,62,22
Wednesday 10 April 2019,London Academy,Eda Banner,72,20
Wednesday 10 April 2019,London Academy,Donalt Savary,48,18
Wednesday 10 April 2019,London Academy,Oralle Kose,50,22
Wednesday 10 April 2019,London Academy,Vernor Farrance,55,22
Wednesday 10 April 2019,London Academy,Salvidor Cully,53,18
Wednesday 10 April 2019,London Academy,Ninette Borrel,49,11
Wednesday 10 April 2019,London Academy,Todd Kohnert,58,24
Wednesday 10 April 2019,London Academy,Gunter Marzellano,63,23
Wednesday 10 April 2019,London Academy,Enrique Garside,57,19
Wednesday 10 April 2019,London Academy,Hilda Winkett,69,25
Wednesday 10 April 2019,London Academy,Giles De Angelis,52,23
Wednesday 10 April 2019,London Academy,Kala Franzini,48,26
Wednesday 10 April 2019,London Academy,Davey Mcdowell,52,24
Wednesday 10 April 2019,London Academy,Mickey Lamport,56,18
Wednesday 10 April 2019,London Academy,Myrna Bonafant,51,23
Wednesday 10 April 2019,London Academy,Monty Hillam,47,11
Wednesday 10 April 2019,London Academy,Luke Able,51,22
Wednesday 10 April 2019,London Academy,Phillis Lyfield,55,23
Tuesday 10 December 2019,London Academy,Candy Berends,66,15
Tuesday 10 December 2019,London Academy,Adolpho Litterick,63,17
Tuesday 10 December 2019,London Academy,Rockey Courtes,53,21
Tuesday 10 December 2019,London Academy,Salmon Glenfield,52,21
Tuesday 10 December 2019,London Academy,Jena Livings,62,21
Tuesday 10 December 2019,London Academy,Kaitlyn Chagg,53,18
Tuesday 10 December 2019,London Academy,Steffane Laity,62,25
Tuesday 10 December 2019,London Academy,Harrie Chatin,69,22
Tuesday 10 December 2019,London Academy,Bambi Earthfield,60,20
Tuesday 10 December 2019,London Academy,Ulberto Stroton,59,22
Tuesday 10 December 2019,London Academy,Reinold Jenicek,51,20
Tuesday 10 December 2019,London Academy,Guido Allans,57,16
Tuesday 10 December 2019,London Academy,Orella Goshawke,55,17
Tuesday 10 December 2019,London Academy,Felita Jzhakov,59,22
Tuesday 10 December 2019,London Academy,Filide Roony,60,22
Tuesday 10 December 2019,London Academy,Charley Fredi,55,20
Tuesday 10 December 2019,London Academy,Melly Ible,52,21
Tuesday 10 December 2019,London Academy,Wallie Chittenden,57,22
Tuesday 10 December 2019,London Academy,Scotti Bromfield,50,21
Tuesday 10 December 2019,London Academy,Elisa Gowman,50,19
Thursday 10 January 2019,Birmingham Academy,Sue Barfitt,50,19
Thursday 10 January 2019,Birmingham Academy,Zea Barette,52,18
Thursday 10 January 2019,Birmingham Academy,Meggie Sidsaff,52,18
Thursday 10 January 2019,Birmingham Academy,Gui Graine,57,17
Thursday 10 January 2019,Birmingham Academy,Carolann Bumby,50,16
Thursday 10 January 2019,Birmingham Academy,Danya Sedgefield,57,26
Thursday 10 January 2019,Birmingham Academy,Rolland Figgins,41,22
Thursday 10 January 2019,Birmingham Academy,Frank Tolchard,50,18
Thursday 10 January 2019,Birmingham Academy,Shelli Abbess,51,22
Thursday 10 January 2019,Birmingham Academy,Ambros Ethington,56,23
Thursday 10 January 2019,Birmingham Academy,Nikola Devericks,49,17
Thursday 10 January 2019,Birmingham Academy,Cheston Ceillier,65,25
Thursday 10 January 2019,Birmingham Academy,Babita Heigho,50,28
Thursday 10 January 2019,Birmingham Academy,Vince Scott,65,26
Thursday 10 January 2019,Birmingham Academy,Stephan Jaxon,63,22
Thursday 10 January 2019,Birmingham Academy,Thatcher Northey,49,16
Thursday 10 January 2019,Birmingham Academy,Lilli Le Brom,47,23
Wednesday 10 July 2019,London Academy,Darwin Sambiedge,55,22
Wednesday 10 July 2019,London Academy,Grayce Aim,49,16
Wednesday 10 July 2019,London Academy,Betty Lamlin,72,24
Wednesday 10 July 2019,London Academy,Quill Tompkinson,66,17
Wednesday 10 July 2019,London Academy,Shaun Dowley,58,22
Wednesday 10 July 2019,London Academy,Oswald Lyndon,57,16
Wednesday 10 July 2019,London Academy,Stanwood Heimann,49,23
Wednesday 10 July 2019,London Academy,Ruthie Kinvig,44,20
Wednesday 10 July 2019,London Academy,Alison Tett,53,18
Wednesday 10 July 2019,London Academy,Care Oattes,49,22
Wednesday 10 July 2019,London Academy,Uriel Eidelman,50,21
Wednesday 10 July 2019,London Academy,Drake Northcote,53,27
Wednesday 10 July 2019,London Academy,Karel Toulamain,51,16
Wednesday 10 July 2019,London Academy,Zelda Prestage,55,18
Wednesday 10 July 2019,London Academy,Judon Henze,58,22
Wednesday 10 July 2019,London Academy,Miguelita Smedley,62,17
Wednesday 10 July 2019,London Academy,Weylin Comolli,50,25
Wednesday 10 July 2019,London Academy,Daloris Cotesford,60,22
Wednesday 10 July 2019,London Academy,Salim Sarra,53,19
Wednesday 10 July 2019,London Academy,Job Restall,60,21
Wednesday 10 July 2019,London Academy,Thorin Eskriet,57,17
Wednesday 10 July 2019,London Academy,Vivienne Blakelock,60,22
Wednesday 10 July 2019,London Academy,Randie Klimashevich,56,21
Wednesday 10 July 2019,London Academy,Maje Vallis,62,22
Wednesday 10 July 2019,London Academy,Freddie Samber,71,26
Wednesday 10 July 2019,London Academy,Grant Kilban,59,22
Thursday 10 October 2019,Birmingham Academy,Ramsey Divall,51,19
Thursday 10 October 2019,Birmingham Academy,Clint Draper,37,16
Thursday 10 October 2019,Birmingham Academy,Drucie Bianco,53,23
Thursday 10 October 2019,Birmingham Academy,Powell Wank,68,17
Thursday 10 October 2019,Birmingham Academy,Tonye Hearl,63,21
Thursday 10 October 2019,Birmingham Academy,Gardener Boundey,49,14
Thursday 10 October 2019,Birmingham Academy,Cliff Knowlton,57,19
Thursday 10 October 2019,Birmingham Academy,Lew Bartlomieczak,63,23
Thursday 10 October 2019,Birmingham Academy,Bartholomeo Keatley,54,19
Thursday 10 October 2019,Birmingham Academy,Adel Kinrade,56,16
Thursday 10 October 2019,Birmingham Academy,Parrnell Wroe,59,15
Thursday 10 October 2019,Birmingham Academy,Alexis Adess,57,19
Thursday 10 October 2019,Birmingham Academy,Pauly Rebbeck,63,18
Thursday 10 October 2019,Birmingham Academy,Malvin Penrith,61,23
Thursday 10 October 2019,Birmingham Academy,Nariko Robelin,44,19
Thursday 10 October 2019,Birmingham Academy,Wallie Pecha,51,22
Thursday 10 October 2019,Birmingham Academy,Meredith Craufurd,50,14
Thursday 10 October 2019,Birmingham Academy,Bobine Advani,55,17
Thursday 10 October 2019,Birmingham Academy,Toinette Hallut,58,20
Thursday 10 October 2019,Birmingham Academy,Aleksandr Lean,47,22
Thursday 10 October 2019,Birmingham Academy,Barnie Jersh,59,22
Thursday 10 October 2019,Birmingham Academy,Peterus Wraith,49,11
Thursday 10 October 2019,Birmingham Academy,Ban Craze,38,24
Thursday 10 October 2019,Birmingham Academy,Chrisy Kesey,58,15
Thursday 10 October 2019,Birmingham Academy,Binnie Capnerhurst,53,14
Thursday 10 October 2019,Birmingham Academy,Ammamaria Tassell,57,20
Thursday 10 October 2019,Birmingham Academy,Karolina Comini,66,13
Thursday 10 October 2019,Birmingham Academy,Loralie Exroll,53,20
Thursday 10 October 2019,Birmingham Academy,Bebe Guyonneau,42,18
Thursday 10 October 2019,Birmingham Academy,Hobard Gaynes,67,23
Thursday 10 October 2019,Birmingham Academy,Clevie Bowsher,54,22
Tuesday 10 September 2019,London Academy,Loralyn Dibbs,46,18
Tuesday 10 September 2019,London Academy,Marsha Coulter,60,22
Tuesday 10 September 2019,London Academy,Norene Dericut,60,23
Tuesday 10 September 2019,London Academy,Dale Fewlass,52,22
Tuesday 10 September 2019,London Academy,Wilfred Godwyn,57,17
Tuesday 10 September 2019,London Academy,Irvine Harmson,55,23
Tuesday 10 September 2019,London Academy,Leyla Threadgold,54,18
Tuesday 10 September 2019,London Academy,Ethelred Cartman,52,24
Tuesday 10 September 2019,London Academy,Baldwin Macbey,56,24
Tuesday 10 September 2019,London Academy,Torrence Lanegran,62,20
Tuesday 10 September 2019,London Academy,Angie Langer,41,21
Tuesday 10 September 2019,London Academy,Patric Goult,68,22
Tuesday 10 September 2019,London Academy,Jennine Erni,56,26
Tuesday 10 September 2019,London Academy,Roderic Dagger,45,22
Tuesday 10 September 2019,London Academy,Glynnis Wicken,50,26
Tuesday 10 September 2019,London Academy,Stephine Kirton,63,19
Tuesday 10 September 2019,London Academy,Carroll Treasaden,54,21
Tuesday 10 September 2019,London Academy,Riva Mangeot,53,23
Tuesday 10 September 2019,London Academy,Lilias Mc Gorley,50,17
Tuesday 10 September 2019,London Academy,Garrard Keward,64,28
Tuesday 10 September 2019,London Academy,Collin Commins,52,22
Tuesday 10 September 2019,London Academy,Bertha Burchfield,55,18
Tuesday 10 September 2019,London Academy,Stillmann Qualtrough,63,9
Tuesday 10 September 2019,London Academy,Ignatius Doxsey,60,23
Tuesday 10 September 2019,London Academy,Jo-Ann Gallihaulk,62,20
Tuesday 10 September 2019,London Academy,Mark Beckingham,63,28
Tuesday 10 September 2019,London Academy,Ryley Dael,62,25
Thursday 11 April 2019,Birmingham Academy,Meridel Randell,62,23
Thursday 11 April 2019,Birmingham Academy,Isacco Boichat,57,19
Thursday 11 April 2019,Birmingham Academy,Valenka Jirsa,63,18
Thursday 11 April 2019,Birmingham Academy,Sullivan Peskin,45,24
Thursday 11 April 2019,Birmingham Academy,Theobald Rawles,66,16
Thursday 11 April 2019,Birmingham Academy,Hubie Surgood,52,21
Thursday 11 April 2019,Birmingham Academy,Paco St Ange,59,22
Thursday 11 April 2019,Birmingham Academy,Forbes Scimoni,54,16
Thursday 11 April 2019,Birmingham Academy,Aggy Alessandrucci,55,21
Thursday 11 April 2019,Birmingham Academy,Nicola Gloyens,46,23
Thursday 11 April 2019,Birmingham Academy,Viv Newby,51,15
Thursday 11 April 2019,Birmingham Academy,Rosanna Berkely,44,19
Thursday 11 April 2019,Birmingham Academy,Arlen Meacher,55,20
Thursday 11 April 2019,Birmingham Academy,Leigha Pafford,50,17
Thursday 11 April 2019,Birmingham Academy,Amalea Tysack,54,18
Thursday 11 April 2019,Birmingham Academy,Auberta Ruddick,63,23
Thursday 11 April 2019,Birmingham Academy,Kathlin Gibling,64,24
Thursday 11 April 2019,Birmingham Academy,Parke Coulthurst,61,21
Thursday 11 April 2019,Birmingham Academy,Asher Mccrow,45,12
Thursday 11 April 2019,Birmingham Academy,Scott Duny,57,17
Wednesday 11 December 2019,London Academy,Berry Gammel,71,16
Wednesday 11 December 2019,London Academy,Moritz Mosedall,54,21
Wednesday 11 December 2019,London Academy,Nerti Welfair,63,18
Wednesday 11 December 2019,London Academy,Sandro Pratchett,53,19
Wednesday 11 December 2019,London Academy,Olia Lincoln,62,18
Wednesday 11 December 2019,London Academy,Caril Bayly,58,21
Wednesday 11 December 2019,London Academy,Gianina Shevelin,51,14
Wednesday 11 December 2019,London Academy,Charlotte Laxe,58,27
Wednesday 11 December 2019,London Academy,Cori Docwra,56,20
Wednesday 11 December 2019,London Academy,Bessy Turpie,62,23
Wednesday 11 December 2019,London Academy,El Shepstone,53,17
Wednesday 11 December 2019,London Academy,Nahum Riddock,65,21
Wednesday 11 December 2019,London Academy,Berni Torra,54,19
Wednesday 11 December 2019,London Academy,Horten Koomar,50,18
Wednesday 11 December 2019,London Academy,Haley Chmiel,42,15
Wednesday 11 December 2019,London Academy,Allina Buttfield,57,18
Wednesday 11 December 2019,London Academy,Mari Lotterington,50,22
Wednesday 11 December 2019,London Academy,Elbertine Angliss,45,24
Wednesday 11 December 2019,London Academy,Eddie Mara,60,23
Wednesday 11 December 2019,London Academy,Willi Dibnah,57,22
Wednesday 11 December 2019,London Academy,Domenic Coulter,64,19
Wednesday 11 December 2019,London Academy,Johnna Tarbin,52,25
Wednesday 11 December 2019,London Academy,Rhys Ayton,41,17
Wednesday 11 December 2019,London Academy,Riobard Collcott,52,23
Wednesday 11 December 2019,London Academy,Amalia Sheppard,56,22
Wednesday 11 December 2019,London Academy,Rene Stennings,52,22
Wednesday 11 December 2019,London Academy,Piper Hawson,56,22
Wednesday 11 December 2019,London Academy,Doretta Langdon,58,25
Wednesday 11 December 2019,London Academy,Imelda Fowkes,44,24
Wednesday 11 December 2019,London Academy,Claudian Copp,47,18
Wednesday 11 December 2019,London Academy,Free Simmgen,56,15
Wednesday 11 December 2019,London Academy,Milly Hugnin,66,22
Wednesday 11 December 2019,London Academy,Elissa Knowles,50,22
Thursday 11 July 2019,Birmingham Academy,Zacharias Restorick,58,22
Thursday 11 July 2019,Birmingham Academy,Benita Enefer,52,20
Thursday 11 July 2019,Birmingham Academy,Roana Sanger,56,20
Thursday 11 July 2019,Birmingham Academy,Cherrita Mcgilleghole,52,25
Thursday 11 July 2019,Birmingham Academy,Ortensia Winscomb,53,26
Thursday 11 July 2019,Birmingham Academy,Michelle Dungee,45,20
Thursday 11 July 2019,Birmingham Academy,Lissa Pumfrett,59,18
Thursday 11 July 2019,Birmingham Academy,Hewet Derwin,62,25
Thursday 11 July 2019,Birmingham Academy,Wilhelm Jouanet,63,23
Thursday 11 July 2019,Birmingham Academy,Bari Streatfield,59,22
Thursday 11 July 2019,Birmingham Academy,Rik Waren,64,18
Thursday 11 July 2019,Birmingham Academy,Vivyan Robuchon,61,17
Thursday 11 July 2019,Birmingham Academy,Dana Oldershaw,49,18
Thursday 11 July 2019,Birmingham Academy,Whitman Ponter,49,23
Thursday 11 July 2019,Birmingham Academy,Shay Obee,52,18
Thursday 11 July 2019,Birmingham Academy,Fayette Vatini,42,18
Thursday 11 July 2019,Birmingham Academy,Horatius Branch,58,15
Thursday 11 July 2019,Birmingham Academy,Melamie Streat,48,22
Thursday 11 July 2019,Birmingham Academy,Floris Rizzetti,51,22
Thursday 11 July 2019,Birmingham Academy,Adelaida Pirson,57,27
Thursday 11 July 2019,Birmingham Academy,Ester Mcterrelly,63,20
Thursday 11 July 2019,Birmingham Academy,Lurline Stirtle,57,23
Thursday 11 July 2019,Birmingham Academy,Annecorinne Kertess,49,18
Thursday 11 July 2019,Birmingham Academy,Gaelan Cords,59,12
Thursday 11 July 2019,Birmingham Academy,Cobby Wixey,49,18
Thursday 11 July 2019,Birmingham Academy,Belle Catherall,53,23
Thursday 11 July 2019,Birmingham Academy,Lory Bruckman,53,19
Thursday 11 July 2019,Birmingham Academy,Rufe Devon,51,16
Thursday 11 July 2019,Birmingham Academy,Zacherie Beswell,58,20
Thursday 11 July 2019,Birmingham Academy,Mame Theurer,39,20
Thursday 11 July 2019,Birmingham Academy,Maggie Dolden,53,28
Thursday 11 July 2019,Birmingham Academy,Gage Feveryear,63,19
Thursday 11 July 2019,Birmingham Academy,Virginia Burdge,57,18
Thursday 11 July 2019,Birmingham Academy,Arlette Pickles,61,17
Thursday 11 July 2019,Birmingham Academy,Madeleine Brunicke,67,16
Thursday 11 July 2019,Birmingham Academy,Sinclair Bonder,60,26
Tuesday 11 June 2019,London Academy,Siouxie Rogan,60,16
Tuesday 11 June 2019,London Academy,Charlean Balston,53,20
Tuesday 11 June 2019,London Academy,Maxi Highwood,48,25
Tuesday 11 June 2019,London Academy,Antoni Caney,66,17
Tuesday 11 June 2019,London Academy,Diana Webby,61,18
Tuesday 11 June 2019,London Academy,Malvina Whiteford,53,24
Tuesday 11 June 2019,London Academy,Stewart Stapleford,44,21
Tuesday 11 June 2019,London Academy,Jayne Andriveau,62,26
Tuesday 11 June 2019,London Academy,Worthington Richford,59,18
Tuesday 11 June 2019,London Academy,Donalt Julyan,59,17
Tuesday 11 June 2019,London Academy,Monah Menci,62,12
Tuesday 11 June 2019,London Academy,Dev Mcpherson,64,26
Tuesday 11 June 2019,London Academy,Shandeigh Birchett,47,22
Tuesday 11 June 2019,London Academy,Vincenty Roubay,72,20
Tuesday 11 June 2019,London Academy,Melamie Keers,61,22
Tuesday 11 June 2019,London Academy,Doy Tams,58,22
Tuesday 11 June 2019,London Academy,Merilee Wheelband,47,23
Tuesday 11 June 2019,London Academy,Maryanna Seeney,50,18
Tuesday 11 June 2019,London Academy,Evangelin Gorges,66,22
Tuesday 11 June 2019,London Academy,Sean Dillaway,54,22
Tuesday 11 June 2019,London Academy,Gisela Schachter,65,20
Tuesday 11 June 2019,London Academy,Phedra Berriball,56,18
Tuesday 11 June 2019,London Academy,Sherwood Cahan,42,11
Tuesday 11 June 2019,London Academy,Byrom Sawday,54,21
Tuesday 11 June 2019,London Academy,Joanna Eggerton,51,22
Tuesday 11 June 2019,London Academy,Shayne De Domenico,54,20
Tuesday 11 June 2019,London Academy,Petronilla Ziemens,56,19
Tuesday 11 June 2019,London Academy,Nikolaus Gullefant,54,19
Tuesday 11 June 2019,London Academy,Auberon Werny,52,17
Tuesday 11 June 2019,London Academy,Forster Clines,60,18
Tuesday 11 June 2019,London Academy,Prentice Van Der Hoeven,60,23
Wednesday 11 September 2019,London Academy,Manon Clutterham,59,26
Wednesday 11 September 2019,London Academy,Ramon Hinchcliffe,56,18
Wednesday 11 September 2019,London Academy,Jenine Ivashkov,53,24
Wednesday 11 September 2019,London Academy,Pebrook Eydel,58,23
Wednesday 11 September 2019,London Academy,Bette-Ann Ferrieres,43,27
Wednesday 11 September 2019,London Academy,Chrissy Bartholin,55,19
Wednesday 11 September 2019,London Academy,Jere Amor,50,17
Wednesday 11 September 2019,London Academy,Amanda Lill,59,21
Wednesday 11 September 2019,London Academy,Fiona Sandle,60,17
Wednesday 11 September 2019,London Academy,Malina Casaccia,65,23
Wednesday 11 September 2019,London Academy,Andreas Mehmet,58,19
Wednesday 11 September 2019,London Academy,Liana Johannes,39,21
Wednesday 11 September 2019,London Academy,Keefe Mirfin,53,23
Wednesday 11 September 2019,London Academy,Wyatt Trippack,57,16
Wednesday 11 September 2019,London Academy,Dietrich Sabater,51,23
Wednesday 11 September 2019,London Academy,Dorothea Bidnall,54,21
Wednesday 11 September 2019,London Academy,Renie Ellin,63,15
Wednesday 11 September 2019,London Academy,Gery Marchment,50,19
Wednesday 11 September 2019,London Academy,Hillary Thouless,54,23
Wednesday 11 September 2019,London Academy,Mariel Bartel,53,17
Wednesday 11 September 2019,London Academy,Chelsy Regus,48,18
Wednesday 11 September 2019,London Academy,Guillaume Rubury,41,19
Wednesday 11 September 2019,London Academy,Teodora Whaplington,57,21
Wednesday 11 September 2019,London Academy,Elfrida Reece,66,17
Wednesday 11 September 2019,London Academy,Corry Siveter,42,24
Wednesday 11 September 2019,London Academy,Jillian Wenn,57,18
Wednesday 11 September 2019,London Academy,Elsa Woonton,54,23
Wednesday 11 September 2019,London Academy,Rachele Shaplin,65,17
Wednesday 11 September 2019,London Academy,Merwyn Bremeyer,55,19
Wednesday 11 September 2019,London Academy,Danni Gurdon,53,17
Wednesday 11 September 2019,London Academy,Veronike Alenov,53,22
Wednesday 11 September 2019,London Academy,Stephan Tidbald,61,17
Wednesday 11 September 2019,London Academy,Chrisse Santostefano.,57,25
Wednesday 11 September 2019,London Academy,Helyn Sahnow,67,16
Wednesday 11 September 2019,London Academy,Homerus Heighton,58,17
Wednesday 11 September 2019,London Academy,Fredia Ruos,64,17
Wednesday 11 September 2019,London Academy,Harrietta Buten,53,23
Wednesday 11 September 2019,London Academy,Glynda Cancellario,48,21
Wednesday 11 September 2019,London Academy,Sarita Weedon,66,19
Wednesday 11 September 2019,London Academy,Darwin Vlasov,51,25
Thursday 12 December 2019,Birmingham Academy,Hi Romke,48,13
Thursday 12 December 2019,Birmingham Academy,Gertruda Syddie,53,24
Thursday 12 December 2019,Birmingham Academy,Loella Thomel,45,22
Thursday 12 December 2019,Birmingham Academy,Dniren Barlas,52,19
Thursday 12 December 2019,Birmingham Academy,Jo Ann Beeke,51,26
Thursday 12 December 2019,Birmingham Academy,Mart Haggerstone,57,23
Thursday 12 December 2019,Birmingham Academy,Patrice Milhench,55,23
Thursday 12 December 2019,Birmingham Academy,Solly Reek,55,22
Thursday 12 December 2019,Birmingham Academy,Damian Brimblecombe,41,19
Thursday 12 December 2019,Birmingham Academy,Fawne Keen,58,22
Thursday 12 December 2019,Birmingham Academy,Abran Hawson,47,13
Thursday 12 December 2019,Birmingham Academy,Jacquelynn Savin,53,23
Thursday 12 December 2019,Birmingham Academy,Matthew Tumilson,54,20
Thursday 12 December 2019,Birmingham Academy,Bridgette Antos,65,26
Thursday 12 December 2019,Birmingham Academy,Leslie Lochhead,41,20
Thursday 12 December 2019,Birmingham Academy,Chet Bean,58,19
Thursday 12 December 2019,Birmingham Academy,Kathryn Sture,54,17
Thursday 12 December 2019,Birmingham Academy,Gerrie Domenget,66,16
Thursday 12 December 2019,Birmingham Academy,Genovera Mattek,54,21
Thursday 12 December 2019,Birmingham Academy,Dawn Petlyura,65,15
Thursday 12 December 2019,Birmingham Academy,Eryn Licence,57,17
Thursday 12 December 2019,Birmingham Academy,Lemar Kingsnod,45,26
Thursday 12 December 2019,Birmingham Academy,Gaultiero Veldstra,40,23
Thursday 12 December 2019,Birmingham Academy,Brandtr Rodell,60,14
Thursday 12 December 2019,Birmingham Academy,Jordan Cristoforetti,56,21
Thursday 12 December 2019,Birmingham Academy,Chaim Inseal,57,22
Tuesday 12 February 2019,London Academy,Wilfrid Warde,42,16
Tuesday 12 February 2019,London Academy,Wash Richardes,60,16
Tuesday 12 February 2019,London Academy,Redd Jurges,64,19
Tuesday 12 February 2019,London Academy,Tommy Evans,61,21
Tuesday 12 February 2019,London Academy,Stephanus Kenwood,58,18
Tuesday 12 February 2019,London Academy,Siward Luten,45,21
Tuesday 12 February 2019,London Academy,Adria Zorro,57,23
Tuesday 12 February 2019,London Academy,Audre Thomerson,58,19
Tuesday 12 February 2019,London Academy,Irvin Clayhill,55,14
Tuesday 12 February 2019,London Academy,Darcie Baldetti,47,15
Tuesday 12 February 2019,London Academy,Kizzee Toyne,49,18
Tuesday 12 February 2019,London Academy,Robbin Duchesne,59,15
Tuesday 12 February 2019,London Academy,Gertrud Nind,53,23
Tuesday 12 February 2019,London Academy,Aloin Ashment,54,19
Tuesday 12 February 2019,London Academy,Sophie Bosse,59,18
